阿兵哥,阿兵哥,a1 bing1 ge1,a piŋ kɤ
吖啶,吖啶,a1 ding4,a tiŋ
阿斗,阿斗,a1 dou3,a toʊ
阿飛,阿飞,a1 fei1,a fɤ
阿訇,阿訇,a1 hong1,a xʊŋ
阿摩尼亞,阿摩尼亚,a1 mo2 ni2 ya4,a mwɔ ni ja
吖嗪,吖嗪,a1 qin2,a tɕʰin
啊呀,啊呀,a1 ya1,a ja
阿姨,阿姨,a1 yi2,a i
哀悼,哀悼,ai1 dao4,aɪ tɑʊ
哀弔,哀吊,ai1 diao4,aɪ tjɑʊ
哀號,哀号,ai1 hao2,aɪ xɑʊ
挨戶,挨户,ai1 hu4,aɪ xu
挨家,挨家,ai1 jia1,aɪ tɕja
挨肩擦背,挨肩擦背,ai1 jian1 ca1 bei4,aɪ tɕjɛn tsʰa bɤ
挨近,挨近,ai1 jin4,aɪ tɕin
哀莫大於心死,哀莫大于心死,ai1 mo4 da4 yu2 xin1 si3,aɪ mwɔ ta y ɕin sɯ
哀戚,哀戚,ai1 qi1,aɪ tɕʰi
唉聲歎氣,唉声叹气,ai1 sheng1 tan4 qi4,aɪ ʂɤŋ tʰan tɕʰi
哎呀,哎呀,ai1 ya5,aɪ ja
哎喲,哎哟,ai1 yo5,aɪ jɑʊ
捱打,挨打,ai2 da3,aɪ ta
捱餓,挨饿,ai2 e4,aɪ ɤ
捱擼,挨撸,ai2 lu1,aɪ lu
捱罵,挨骂,ai2 ma4,aɪ ma
捱罵受挫,挨骂受挫,ai2 ma4 shou4 cuo4,aɪ ma ʂoʊ tsʰwɔ
捱悶雷,挨闷雷,ai2 men4 lei2,aɪ mən lɤ
捱日子,挨日子,ai2 ri4 zi5,aɪ ʐɨ tsɯ
癌症,癌症,ai2 zheng4,aɪ ʈʂɤŋ
藹然可親,蔼然可亲,ai3 ran2 ke3 qin1,aɪ ʐan kʰɤ tɕʰin
矮小,矮小,ai3 xiao3,aɪ ɕjɑʊ
艾草,艾草,ai4 cao3,aɪ tsʰɑʊ
