阿兵哥,阿兵哥,a1 bing1 ge1,a piŋ kɤ,1,p
吖啶,吖啶,a1 ding4,a tiŋ,2,i
阿斗,阿斗,a1 dou3,a toʊ,2,o
阿飛,阿飞,a1 fei1,a feɪ,1,f
阿訇,阿訇,a1 hong1,a xʊŋ,1,x
阿摩尼亞,阿摩尼亚,a1 mo2 ni2 ya4,a mwɔ ni ja,1,m
吖嗪,吖嗪,a1 qin2,a tɕʰin,2,ɕʰ
啊呀,啊呀,a1 ya1,a ja,1,j
阿姨,阿姨,a1 yi2,a i,1,i
哀悼,哀悼,ai1 dao4,aɪ tɑʊ,3,ɑ
哀弔,哀吊,ai1 diao4,aɪ tjɑʊ,3,j
哀號,哀号,ai1 hao2,aɪ xɑʊ,3,ɑ
挨戶,挨户,ai1 hu4,aɪ xu,3,u
挨家,挨家,ai1 jia1,aɪ tɕja,5,a
挨肩擦背,挨肩擦背,ai1 jian1 ca1 bei4,aɪ tɕjɛn tsʰa peɪ,5,ɛ
挨近,挨近,ai1 jin4,aɪ tɕin,4,i
哀莫大於心死,哀莫大于心死,ai1 mo4 da4 yu2 xin1 si3,aɪ mwɔ ta y ɕin sɯ,5,t
哀戚,哀戚,ai1 qi1,aɪ tɕʰi,4,i
唉聲歎氣,唉声叹气,ai1 sheng1 tan4 qi4,aɪ ʂɤŋ tʰan tɕʰi,3,ɤ
哎呀,哎呀,ai1 ya5,aɪ ja,3,a
哎喲,哎哟,ai1 yo5,aɪ jʊ,3,ʊ
捱打,挨打,ai2 da3,aɪ ta,3,a
捱餓,挨饿,ai2 e4,aɪ ɤ,2,ɤ
捱擼,挨撸,ai2 lu1,aɪ lu,2,l
捱罵,挨骂,ai2 ma4,aɪ ma,3,a
捱罵受挫,挨骂受挫,ai2 ma4 shou4 cuo4,aɪ ma ʂoʊ tsʰwɔ,3,a
捱悶雷,挨闷雷,ai2 men4 lei2,aɪ mən leɪ,3,ə
捱日子,挨日子,ai2 ri4 zi5,aɪ ʐɨ tsɯ,3,ɨ
癌症,癌症,ai2 zheng4,aɪ ʈʂɤŋ,4,ɤ
藹然可親,蔼然可亲,ai3 ran2 ke3 qin1,aɪ ʐan kʰɤ tɕʰin,3,a
矮小,矮小,ai3 xiao3,aɪ ɕjɑʊ,2,ɕ
艾草,艾草,ai4 cao3,aɪ tsʰɑʊ,3,sʰ
愛戴,爱戴,ai4 dai4,aɪ taɪ,3,a
靉靆,叆叇,ai4 dai4,aɪ taɪ,3,a
愛撫,爱抚,ai4 fu3,aɪ fu,2,f
愛國,爱国,ai4 guo2,aɪ kwɔ,2,k
愛國主義,爱国主义,ai4 guo2 zhu3 yi4,aɪ kwɔ ʈʂu i,2,k
愛國主義者,爱国主义者,ai4 guo2 zhu3 yi4 zhe3,aɪ kwɔ ʈʂu i ʈʂɤ,2,k
愛好,爱好,ai4 hao4,aɪ xɑʊ,3,ɑ
愛好者,爱好者,ai4 hao4 zhe3,aɪ xɑʊ ʈʂɤ,3,ɑ
愛護,爱护,ai4 hu4,aɪ xu,3,u
愛護備至,爱护备至,ai4 hu4 bei4 zhi4,aɪ xu peɪ ʈʂɨ,3,u
艾灸,艾灸,ai4 jiu3,aɪ tɕjoʊ,5,o
曖昧,暧昧,ai4 mei4,aɪ meɪ,3,e
愛面子,爱面子,ai4 mian4 zi5,aɪ mjɛn tsɯ,3,j
愛莫能助,爱莫能助,ai4 mo4 neng2 zhu4,aɪ mwɔ nɤŋ ʈʂu,5,n
愛妾,爱妾,ai4 qie4,aɪ tɕʰjɛ,4,j
愛情,爱情,ai4 qing2,aɪ tɕʰiŋ,4,i
愛情小說,爱情小说,ai4 qing2 xiao3 shuo1,aɪ tɕʰiŋ ɕjɑʊ ʂwɔ,4,i
愛人,爱人,ai4 ren5,aɪ ʐən,3,ə
愛上,爱上,ai4 shang4,aɪ ʂɑŋ,3,ɑ
礙事,碍事,ai4 shi4,aɪ ʂɨ,3,ɨ
